customer_id,customer_name,gender,age,city,state,signup_date,acquisition_channel,customer_segment
C100000,Sai Kumar,Female,61.0,Delhi,Delhi,2024-03-06,YouTube,Premium
C100001,Aditya Patel,Female,53.0,Mumbai,Maharashtra,2025-07-18,YouTube,Premium
C100002,Rohan Sharma,Male,27.0,Pune,Maharashtra,2025-04-22,Organic Search,Standard
C100003,Sai Naidu,Male,65.0,Kolkata,West Bengal,2024-11-16,Google Ads,Basic
C100004,Arjun Varma,Male,65.0,Mumbai,Maharashtra,2024-11-12,Referral,Standard
C100005,Sneha Kumar,Male,19.0,Ahmedabad,Gujarat,2025-09-18,Referral,Basic
C100006,Aarav Reddy,Male,19.0,Kolkata,West Bengal,2024-03-03,Instagram,Basic
C100007,Sanjay Patel,Female,29.0,Bengaluru,Karnataka,2025-05-24,Organic Search,Premium
C100008,Aarav Naidu,Male,56.0,Kakinada,Andhra Pradesh,2024-05-27,Email,Standard
C100009,Sanjay Naidu,Male,46.0,Hyderabad,Telangana,2024-03-09,Email,Premium
C100010,Sneha Patel,Female,42.0,Kolkata,West Bengal,2025-01-19,Google Ads,Premium
C100011,Divya Varma,Female,37.0,Chennai,Tamil Nadu,2025-12-13,Instagram,Standard
C100012,Aditya Kumar,Male,41.0,Kolkata,West Bengal,2025-06-21,Organic Search,Premium
C100013,Kiran Gupta,Male,48.0,Ahmedabad,Gujarat,2025-07-09,Instagram,Standard
C100014,Ananya Rao,Female,21.0,Kolkata,West Bengal,2025-06-07,Instagram,Standard
C100015,Rahul Patel,Male,46.0,Kolkata,West Bengal,2025-07-27,Email,Standard
C100016,Ananya Reddy,Female,28.0,Visakhapatnam,Andhra Pradesh,2025-01-09,Email,Standard
C100017,Arjun Gupta,Female,55.0,Ahmedabad,Gujarat,2024-04-03,Instagram,Basic
C100018,Sai Singh,Male,27.0,Visakhapatnam,Andhra Pradesh,2025-09-05,Instagram,Basic
C100019,Priya Varma,Female,21.0,Chennai,Tamil Nadu,2024-11-24,Organic Search,Basic
C100020,Aditya Kumar,Male,38.0,Mumbai,Maharashtra,2024-12-31,YouTube,Standard
C100021,Divya Naidu,Male,39.0,Mumbai,Maharashtra,2024-09-27,Referral,Standard
C100022,Sai Gupta,Male,42.0,Kolkata,West Bengal,2024-05-13,Organic Search,Standard
C100023,Arjun Naidu,Other,59.0,Pune,Maharashtra,2025-11-07,Google Ads,Standard
C100024,Nikhil Varma,Male,51.0,Hyderabad,Telangana,2025-07-24,Email,Premium
C100025,Priya Varma,Male,35.0,Mumbai,Maharashtra,2025-04-15,Referral,Basic
C100026,Sanjay Reddy,Female,52.0,Kakinada,Andhra Pradesh,2024-10-20,Organic Search,Basic
C100027,Vihaan Patel,Male,42.0,Ahmedabad,Gujarat,2025-08-23,Organic Search,Basic
C100028,Nikhil Reddy,Female,28.0,Ahmedabad,Gujarat,2025-02-02,Google Ads,Standard
C100029,Rohan Reddy,Female,19.0,Bengaluru,Karnataka,2024-11-19,Instagram,Premium
C100030,Kavya Rao,Female,18.0,Hyderabad,Telangana,2024-11-24,Organic Search,Premium
C100031,Divya Singh,Female,28.0,Mumbai,Maharashtra,2024-06-14,Instagram,Basic
C100032,Kiran Singh,Female,,Visakhapatnam,Andhra Pradesh,2024-03-08,Email,Standard
C100033,Priya Patel,Male,40.0,Pune,Maharashtra,2025-02-08,Referral,Basic
C100034,Aditya Reddy,Other,39.0,Ahmedabad,Gujarat,2025-10-10,Instagram,Basic
C100035,Kiran Naidu,Female,37.0,Chennai,Tamil Nadu,2024-02-16,Email,Standard
C100036,Rohan Sharma,Female,30.0,Chennai,Tamil Nadu,2025-09-18,Referral,Standard
C100037,Divya Gupta,Female,52.0,Kolkata,West Bengal,2025-08-27,Organic Search,Basic
C100038,Aditya Naidu,Female,18.0,Kakinada,Andhra Pradesh,2024-07-21,Instagram,Standard
C100039,Rohan Singh,Female,47.0,Chennai,Tamil Nadu,2025-04-06,Instagram,Standard
C100040,Vihaan Patel,Male,62.0,Pune,Maharashtra,2024-04-30,Instagram,Standard
C100041,Vihaan Singh,Female,60.0,Kakinada,Andhra Pradesh,2025-07-07,Google Ads,Standard
C100042,Kavya Rao,Female,35.0,Delhi,Delhi,2025-05-26,Email,Basic
C100043,Arjun Patel,Female,59.0,Visakhapatnam,Andhra Pradesh,2024-09-15,Google Ads,Premium
C100044,Ananya Patel,Male,29.0,Pune,Maharashtra,2024-02-19,Instagram,Standard
C100045,Meera Gupta,Male,29.0,Visakhapatnam,Andhra Pradesh,2025-12-09,YouTube,Basic
C100046,Divya Sharma,Female,34.0,Chennai,Tamil Nadu,2024-11-21,Instagram,Standard
C100047,Aditya Sharma,Male,18.0,Kolkata,West Bengal,2025-10-13,Google Ads,Standard
C100048,Rohan Naidu,Female,30.0,Delhi,Delhi,2025-05-09,Organic Search,Basic
C100049,Aditya Varma,Female,59.0,Kolkata,West Bengal,2025-07-22,Email,Standard
C100050,Sneha Varma,Male,54.0,Delhi,Delhi,2025-07-08,Google Ads,Premium
C100051,Kavya Singh,Male,33.0,Kolkata,West Bengal,2024-05-22,YouTube,Premium
C100052,Rohan Sharma,Female,32.0,Ahmedabad,Gujarat,2024-09-22,Referral,Premium
C100053,Meera Reddy,Male,34.0,Chennai,Tamil Nadu,2024-12-06,Instagram,Standard
C100054,Vihaan Reddy,Female,23.0,Chennai,Tamil Nadu,2024-12-29,Instagram,Premium
C100055,Rahul Sharma,Male,25.0,Delhi,Delhi,2024-02-01,YouTube,Standard
C100056,Sneha Varma,Male,65.0,Ahmedabad,Gujarat,2025-02-02,Google Ads,Basic
C100057,Arjun Gupta,Male,51.0,Pune,Maharashtra,2024-04-22,Organic Search,Standard
C100058,Kavya Varma,Female,50.0,Pune,Maharashtra,2025-06-26,Instagram,Standard
C100059,Divya Naidu,Female,31.0,Hyderabad,Telangana,2025-05-13,Instagram,Premium
C100060,Aditya Naidu,Female,59.0,Bengaluru,Karnataka,2025-11-04,Organic Search,Standard
C100061,Aarav Reddy,Male,26.0,Hyderabad,Telangana,2025-06-27,YouTube,Standard
C100062,Aditya Singh,Female,64.0,Visakhapatnam,Andhra Pradesh,2024-09-24,Instagram,Premium
C100063,Sai Rao,Male,42.0,Visakhapatnam,Andhra Pradesh,2025-12-07,Instagram,Basic
C100064,Sneha Sharma,Female,33.0,Hyderabad,Telangana,2024-10-26,Organic Search,Basic
C100065,Divya Kumar,Female,54.0,Hyderabad,Telangana,2024-08-25,Referral,Standard
C100066,Aditya Naidu,Male,38.0,Ahmedabad,Gujarat,2025-10-23,Google Ads,Standard
C100067,Kiran Naidu,Female,30.0,Pune,Maharashtra,2024-09-27,Instagram,Standard
C100068,Sai Rao,Male,50.0,Delhi,Delhi,2024-02-25,YouTube,Standard
C100069,Sanjay Sharma,Male,52.0,Kolkata,West Bengal,2024-12-08,Instagram,Standard
C100070,Priya Sharma,Female,46.0,Mumbai,Maharashtra,2025-08-03,Google Ads,Basic
C100071,Aarav Varma,Female,40.0,Bengaluru,Karnataka,2024-05-18,Google Ads,Basic
C100072,Ananya Das,Male,33.0,Delhi,Delhi,2024-12-03,Instagram,Standard
C100073,Aarav Reddy,Female,37.0,Visakhapatnam,Andhra Pradesh,2024-04-04,Referral,Standard
C100074,Priya Rao,Male,59.0,Ahmedabad,Gujarat,2025-05-16,Google Ads,Standard
C100075,Rohan Kumar,Female,35.0,Bengaluru,Karnataka,2024-12-13,Email,Standard
C100076,Rohan Varma,Female,64.0,Pune,Maharashtra,2024-08-29,Google Ads,Standard
C100077,Arjun Reddy,Male,24.0,Visakhapatnam,Andhra Pradesh,2024-06-14,Instagram,Standard
C100078,Meera Reddy,Female,25.0,Kakinada,Andhra Pradesh,2025-02-16,Organic Search,Premium
C100079,Rahul Sharma,Female,33.0,Ahmedabad,Gujarat,2025-05-03,Referral,Standard
C100080,Meera Naidu,Female,18.0,Bengaluru,Karnataka,2025-11-17,Google Ads,Basic
C100081,Kiran Rao,Male,60.0,Mumbai,Maharashtra,2024-11-15,Instagram,Standard
C100082,Sneha Patel,Male,34.0,Mumbai,Maharashtra,2024-04-27,Referral,Standard
C100083,Sanjay Rao,Female,22.0,Bengaluru,Karnataka,2025-08-30,Organic Search,Standard
C100084,Kavya Singh,Female,47.0,Bengaluru,Karnataka,2025-04-04,Email,Premium
C100085,Divya Naidu,Female,63.0,Delhi,Delhi,2025-05-26,Organic Search,Standard
C100086,Divya Reddy,Female,65.0,Pune,Maharashtra,2024-03-11,Instagram,Standard
